school_id,school,school_mascot,abbreviation,conference_id,division,classification,color,alternate_color,logo,stadium_name,school_city,school_state,stadium_latitude,stadium_longitude,stadium_elevation,stadium_capacity,stadium_grass,stadium_dome
344,Mississippi State,Bulldogs,MSST,8,,fbs,#5d1725,#c1c6c8,https://cdn.collegefootballdata.com/logos/500/344.png,Davis Wade Stadium,Starkville,MS,33.4563403,-88.7933652,110.2742081,61337,TRUE,FALSE
2579,South Carolina,Gamecocks,SC,8,,fbs,#73000a,#000000,https://cdn.collegefootballdata.com/logos/500/2579.png,Williams-Brice Stadium,Columbia,SC,33.9730239,-81.0191726,60.54548645,80250,TRUE,FALSE
2633,Tennessee,Volunteers,TENN,8,,fbs,#ff8200,#ffffff,https://cdn.collegefootballdata.com/logos/500/2633.png,Neyland Stadium,Knoxville,TN,35.9550131,-83.9250128,271.9517212,102455,TRUE,FALSE
231,Furman,Paladins,FUR,29,,fcs,#582c83,#ffffff,https://cdn.collegefootballdata.com/logos/500/231.png,Paladin Stadium,Greenville,SC,34.920192,-82.4370917,303.2829285,16000,FALSE,FALSE
236,Chattanooga,Mocs,UTC,29,,fcs,#00386b,#dca71d,https://cdn.collegefootballdata.com/logos/500/236.png,Finley Stadium,Chattanooga,TN,35.0363792,-85.3158835,200.1825104,20668,FALSE,FALSE
2193,East Tennessee State,Buccaneers,ETSU,29,,fcs,#002d61,#ffc423,https://cdn.collegefootballdata.com/logos/500/2193.png,William B. Greene Jr. Stadium,Johnson City,TN,36.299084,-82.374117,512.5,7694,FALSE,FALSE
2382,Mercer,Bears,MER,29,,fcs,#ff7f29,#080808,https://cdn.collegefootballdata.com/logos/500/2382.png,Five Star Stadium at the Moye Complex,Macon,GA,32.8262075,-83.6522485,138.6699677,10200,FALSE,FALSE
2535,Samford,Bulldogs,SAM,29,,fcs,#005485,#bc0023,https://cdn.collegefootballdata.com/logos/500/2535.png,Seibert Stadium,Homewood,AL,33.463273,-86.795326,208.0207825,6700,FALSE,FALSE
2635,Tennessee Tech,Golden Eagles,TNTC,29,,fcs,#5A4099,#ffde00,https://cdn.collegefootballdata.com/logos/500/2635.png,Tucker Stadium,Cookeville,TN,36.1780555,-85.506183,340.8609314,16500,FALSE,FALSE
2643,The Citadel,Bulldogs,CIT,29,,fcs,#7badd3,#002856,https://cdn.collegefootballdata.com/logos/500/2643.png,Johnson Hagood Stadium,Charleston,SC,32.7936975,-79.9558183,4.137742996,11427,TRUE,FALSE
2678,VMI,Keydets,VMI,29,,fcs,#ae122a,#ffd619,https://cdn.collegefootballdata.com/logos/500/2678.png,Alumni Memorial Field,Lexington,VA,37.788983,-79.43505,294.958252,10000,TRUE,FALSE
2717,Western Carolina,Catamounts,WCU,29,,fcs,#492F91,#bf9e70,https://cdn.collegefootballdata.com/logos/500/2717.png,E. J. Whitmire Stadium,Cullowhee,NC,35.3048352,-83.1818148,653.8632813,13742,FALSE,FALSE
2747,Wofford,Terriers,WOF,29,,fcs,#533B23,#f0f0f0,https://cdn.collegefootballdata.com/logos/500/2747.png,Gibbs Stadium,Spartanburg,SC,34.9618606,-81.9328915,231.6300049,13000,TRUE,FALSE
292,UT Rio Grande Valley,Vaqueros,RGV,30,,fcs,#null,#null,https://cdn.collegefootballdata.com/logos/500/292.png,Robert and Janet Vackar Stadium,Edinburg,TX,26.2826,-98.1352,30,13498,FALSE,FALSE
